Head,Head-Tail Bonding,Lipid Type,Category,Main Class,Sub Class,Class Level 4,Nota
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Other Docosanoids [FA0400],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Oxo fatty acids [FA0106],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Hydroxy/hydroperoxyeicosatrienoic acids [FA0305],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],"Octadeca-1,2-dioxolanes [FA0205]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Phytofurans [FA0204],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],"Docosa-1,2-dioxolanes [FA0406]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Other Docosanoids [FA0400],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Oxo fatty acids [FA0106],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Hydroxy/hydroperoxyeicosatrienoic acids [FA0305],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],"Octadeca-1,2-dioxolanes [FA0205]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],Phytofurans [FA0204],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty Acids and Conjugates [FA01],"Docosa-1,2-dioxolanes [FA0406]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Other Docosanoids [FA0400],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Oxo fatty acids [FA0106],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Hydroxy/hydroperoxyeicosatrienoic acids [FA0305],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],"Octadeca-1,2-dioxolanes [FA0205]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],Phytofurans [FA0204],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Sterols [ST01],"Docosa-1,2-dioxolanes [FA0406]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Other Docosanoids [FA0400],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Oxo fatty acids [FA0106],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Hydroxy/hydroperoxyeicosatrienoic acids [FA0305],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],"Octadeca-1,2-dioxolanes [FA0205]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],Phytofurans [FA0204],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty alcohols [FA05],"Docosa-1,2-dioxolanes [FA0406]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Other Docosanoids [FA0400],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Oxo fatty acids [FA0106],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Hydroxy/hydroperoxyeicosatrienoic acids [FA0305],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],"Octadeca-1,2-dioxolanes [FA0205]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],Phytofurans [FA0204],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty esters [FA07],"Docosa-1,2-dioxolanes [FA0406]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Fatty Acyls [FA],Fatty ethers [FA10],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
